"","denom_cia","dt_fim_exerc","cnpj_cia","dt_cotacao","lucro_liquido","pl","ativo_circulante","ativo_nao_circulante","ativo_total","passivo_circulante","passivo_nao_circulante","passivo_total","roe","roi","popl","poat","roa","gaf","pl_alternativo","ebit","ebitda","receitas_financeiras","resultado_financeiro","depreciacao","dt_ini_exerc","cd_cvm","ticker","close","close_dividends","dividends_acc","close_tres_meses","close_dividends_tres_meses","dividends_acc_tres_meses"
"17","BRB BCO DE BRASILIA S.A.",2013-12-31,"00000208000100",2014-03-31,211225,1190253,NA,NA,11576733,NA,NA,10386480,0.177462270626497,0.0182456484052971,8.72627920282495,0.897185760438632,0.0275421399111476,9.72627920282495,1190253,NA,NA,NA,NA,-24659,2013-01-01,14206,"BSLI3",1.92167150974274,2.35108750974274,0.429416,1.9069789648056,2.3962389648056,0.48926
"18","BRB BCO DE BRASILIA S.A.",2013-12-31,"00000208000100",2014-03-31,211225,1190253,NA,NA,11576733,NA,NA,10386480,0.177462270626497,0.0182456484052971,8.72627920282495,0.897185760438632,0.0275421399111476,9.72627920282495,1190253,NA,NA,NA,NA,-24659,2013-01-01,14206,"BSLI4",1.71755635738373,2.09140535738373,0.373849,1.9069789648056,2.3962389648056,0.48926
"19","BRB BCO DE BRASILIA S.A.",2014-12-31,"00000208000100",2015-03-31,226876,1379670,NA,NA,12814820,NA,NA,11435150,0.164442221690694,0.0177041893682471,8.2883225698899,0.892337933736096,0.0251764753621198,9.2883225698899,1379670,NA,NA,NA,NA,-30997,2014-01-01,14206,"BSLI3",1.80911922454834,2.34196222454834,0.532843,1.82286417484283,2.37665217484283,0.553788
"20","BRB BCO DE BRASILIA S.A.",2014-12-31,"00000208000100",2015-03-31,226876,1379670,NA,NA,12814820,NA,NA,11435150,0.164442221690694,0.0177041893682471,8.2883225698899,0.892337933736096,0.0251764753621198,9.2883225698899,1379670,NA,NA,NA,NA,-30997,2014-01-01,14206,"BSLI4",1.28060209751129,1.76822109751129,0.487619,1.82286417484283,2.37665217484283,0.553788
"21","BRB BCO DE BRASILIA S.A.",2015-12-31,"00000208000100",2016-03-31,151027,1494973,NA,NA,13746849,NA,NA,12251876,0.101023229182065,0.0109862994785205,8.19538279286649,0.891249769310771,0.0107682131374252,9.19538279286649,1494973,NA,NA,NA,NA,-30545,2015-01-01,14206,"BSLI3",1.86405003070831,2.47924503070831,0.615195,1.22519528865814,1.85935628865814,0.634161
"22","BRB BCO DE BRASILIA S.A.",2015-12-31,"00000208000100",2016-03-31,122687,1494973,NA,NA,13746849,NA,NA,12251876,0.0820663650781653,0.00892473613407698,8.19538279286649,0.891249769310771,0.00813291831458977,9.19538279286649,1494973,NA,NA,NA,NA,-30545,2015-12-01,14206,"BSLI4",1.25521790981293,1.83342490981293,0.578207,1.22519528865814,1.85935628865814,0.634161
"23","BRB BCO DE BRASILIA S.A.",2016-12-31,"00000208000100",2017-03-31,170443,1413131,NA,NA,13667381,NA,NA,12254250,0.120613729371162,0.012470787197635,8.67170134969794,0.896605574981776,0.0143299583146178,9.67170134969794,1413131,NA,NA,NA,NA,-43025,2016-01-01,14206,"BSLI4",1.78573894500732,2.50218494500732,0.716446,1.72606265544891,2.69063365544891,0.964571
"24","BRB BCO DE BRASILIA S.A.",2016-12-31,"00000208000100",2017-03-31,170443,1413131,NA,NA,13667381,NA,NA,12254250,0.120613729371162,0.012470787197635,8.67170134969794,0.896605574981776,0.0143299583146178,9.67170134969794,1413131,NA,NA,NA,NA,-43025,2016-01-01,14206,"BSLI3",2.14650869369507,2.88737569369507,0.740867,1.72606265544891,2.69063365544891,0.964571
"25","BRB BCO DE BRASILIA S.A.",2017-12-31,"00000208000100",2018-03-29,217806,1468184,NA,NA,14183834,NA,NA,12715650,0.148350615454194,0.0153559326765951,8.66080137094533,0.896488918299523,0.0240111383142245,9.66080137094533,1468184,NA,NA,NA,NA,-50110,2017-01-01,14206,"BSLI4",2.55561351776123,3.77361051776123,1.217997,3.06687068939209,4.38826968939209,1.321399
"26","BRB BCO DE BRASILIA S.A.",2017-12-31,"00000208000100",2018-03-29,217806,1468184,NA,NA,14183834,NA,NA,12715650,0.148350615454194,0.0153559326765951,8.66080137094533,0.896488918299523,0.0240111383142245,9.66080137094533,1468184,NA,NA,NA,NA,-50110,2017-01-01,14206,"BSLI3",2.841965675354,4.038787675354,1.196822,3.06687068939209,4.38826968939209,1.321399
